player.givenName,player.surname,team.name,goals,behinds,goalAccuracy,goalAssists,disposals,kicks,handballs,contestedPossessions,uncontestedPossessions,totalPossessions,tackles,intercepts,rebound50s,disposalEfficiency,clangers,metresGained,scoreInvolvements,bounces
Toby,Bedford,GWS GIANTS,0,0,0.0,0,11,5,6,7,5,12,3,4,0,72.7,1,138,3,0
Kieren,Briggs,GWS GIANTS,0,0,0.0,0,14,7,7,9,1,10,3,2,0,64.3,2,157,5,0
Callum M.,Brown,GWS GIANTS,5,0,100.0,0,11,8,3,4,7,11,1,0,1,90.9,1,302,6,0
Jack,Buckley,GWS GIANTS,0,0,0.0,0,8,5,3,3,5,8,1,3,2,87.5,1,126,1,1
Aaron,Cadman,GWS GIANTS,2,1,66.7,0,10,5,5,4,6,10,0,1,0,70.0,0,89,5,0
Stephen,Coniglio,GWS GIANTS,0,0,0.0,4,28,12,16,11,19,30,2,6,3,78.6,6,440,6,0
Brent,Daniels,GWS GIANTS,4,2,66.7,0,22,14,8,5,16,21,0,0,1,63.6,9,501,6,0
Tom,Green,GWS GIANTS,1,0,50.0,0,30,16,14,11,19,30,6,0,4,73.3,1,422,9,0
Toby,Greene,GWS GIANTS,1,0,100.0,4,15,9,6,6,9,15,0,0,0,80.0,5,224,7,0
Nick,Haynes,GWS GIANTS,0,0,0.0,0,23,16,7,6,18,24,1,7,4,69.6,3,450,6,0
Harry,Himmelberg,GWS GIANTS,0,0,0.0,0,24,14,10,9,11,20,2,6,5,70.8,3,396,4,1
Jesse,Hogan,GWS GIANTS,4,0,100.0,1,12,9,3,7,6,13,0,0,0,83.3,2,314,9,0
Connor,Idun,GWS GIANTS,0,0,0.0,0,16,8,8,8,9,17,1,8,2,81.3,1,210,2,1
Josh,Kelly,GWS GIANTS,1,0,100.0,1,32,22,10,7,23,30,3,3,5,59.4,8,689,10,0
Toby,McMullin,GWS GIANTS,0,0,0.0,0,11,8,3,2,9,11,2,0,1,54.5,2,267,1,0
Xavier,O'Halloran,GWS GIANTS,0,0,0.0,2,15,10,5,5,9,14,3,2,2,40.0,10,284,2,0
Jake,Riccardi,GWS GIANTS,0,0,0.0,0,4,1,3,2,3,5,0,1,0,75.0,2,27,1,0
Sam,Taylor,GWS GIANTS,0,0,0.0,0,15,8,7,6,7,13,0,10,2,93.3,2,62,2,0
Harvey,Thomas,GWS GIANTS,0,0,0.0,3,9,3,6,4,5,9,0,1,0,77.8,4,28,4,0
Callan,Ward,GWS GIANTS,0,0,0.0,0,8,2,6,4,4,8,1,2,0,87.5,1,27,3,0
Jacob,Wehr,GWS GIANTS,0,1,0.0,1,11,6,5,4,7,11,2,1,1,72.7,2,193,5,0
Lachie,Whitfield,GWS GIANTS,0,0,0.0,0,33,24,9,4,24,28,1,4,10,78.8,4,570,3,0
Darcy,Cameron,Collingwood,2,0,100.0,0,20,15,5,10,8,18,5,5,2,55.0,6,260,5,0
Mason,Cox,Collingwood,0,0,0.0,0,5,2,3,2,3,5,0,1,0,80.0,1,31,2,0
Jack,Crisp,Collingwood,0,1,0.0,1,18,9,9,9,9,18,6,5,2,77.8,3,259,6,0
Josh,Daicos,Collingwood,0,0,0.0,0,28,16,12,6,22,28,5,2,2,67.9,2,466,8,0
Nick,Daicos,Collingwood,1,1,33.3,0,34,19,15,16,19,35,4,5,1,70.6,5,663,6,1
Jordan,De Goey,Collingwood,0,0,0.0,0,21,11,10,8,11,19,1,0,1,71.4,6,299,4,0
Charlie,Dean,Collingwood,0,0,0.0,0,9,4,5,3,7,10,1,4,4,88.9,0,79,2,0
Jamie,Elliott,Collingwood,0,2,0.0,0,16,9,7,5,8,13,3,1,0,50.0,5,231,6,0
Bobby,Hill,Collingwood,2,0,100.0,1,10,5,5,3,6,9,3,1,0,80.0,3,144,3,1
Will,Hoskin-Elliott,Collingwood,0,1,0.0,1,14,13,1,1,12,13,1,4,3,64.3,5,371,4,0
Ash,Johnson,Collingwood,0,0,0.0,0,2,2,0,2,0,2,1,0,0,50.0,2,31,1,1
Patrick,Lipinski,Collingwood,0,2,0.0,0,26,12,14,9,16,25,2,7,3,65.4,4,317,5,0
Oleg,Markov,Collingwood,0,0,0.0,0,16,5,11,7,10,17,0,4,1,81.3,3,207,2,0
Brayden,Maynard,Collingwood,1,0,100.0,0,16,15,1,2,12,14,5,5,4,87.5,3,493,4,0
Beau,McCreery,Collingwood,1,1,33.3,0,9,7,2,2,7,9,4,1,0,55.6,3,179,3,0
Brody,Mihocek,Collingwood,3,2,42.9,0,14,8,6,4,9,13,0,0,0,57.1,1,256,8,0
Tom,Mitchell,Collingwood,1,0,100.0,0,9,2,7,4,5,9,2,0,0,100.0,0,54,2,0
Darcy,Moore,Collingwood,0,0,0.0,0,9,6,3,4,4,8,2,7,3,100.0,0,239,4,0
John,Noble,Collingwood,0,0,0.0,0,8,4,4,2,6,8,3,2,3,87.5,2,206,2,0
Scott,Pendlebury,Collingwood,0,0,0.0,2,18,10,8,6,12,18,1,2,0,72.2,0,226,5,0
Isaac,Quaynor,Collingwood,0,0,0.0,0,15,9,6,7,9,16,2,6,4,86.7,2,338,4,0
Lachie,Schultz,Collingwood,0,3,0.0,0,16,8,8,5,11,16,6,2,0,56.3,3,248,5,0
Steele,Sidebottom,Collingwood,0,0,0.0,2,17,14,3,6,13,19,3,6,2,88.2,3,387,6,0
Darcy,Cameron,Collingwood,1,0,100.0,0,17,11,6,11,6,17,1,3,1,76.5,5,207,3,0
Mason,Cox,Collingwood,0,1,0.0,0,12,5,7,7,5,12,1,5,2,58.3,5,81,4,0
Jack,Crisp,Collingwood,0,0,0.0,0,15,4,11,8,8,16,2,3,2,66.7,3,126,3,0
Josh,Daicos,Collingwood,1,0,100.0,0,16,9,7,5,11,16,0,1,1,75.0,0,259,5,0
Nick,Daicos,Collingwood,1,1,33.3,1,37,17,20,15,23,38,2,4,0,73.0,3,422,7,1
Jordan,De Goey,Collingwood,1,0,100.0,2,20,11,9,6,15,21,4,2,1,60.0,3,288,5,0
Charlie,Dean,Collingwood,0,0,0.0,0,12,7,5,4,8,12,1,5,2,83.3,2,147,0,0
Jamie,Elliott,Collingwood,2,0,100.0,0,11,7,4,3,8,11,2,0,0,63.6,2,174,4,0
Bobby,Hill,Collingwood,1,0,100.0,1,12,9,3,2,9,11,1,0,0,66.7,2,160,5,0
Will,Hoskin-Elliott,Collingwood,0,0,0.0,1,19,17,2,7,10,17,1,5,4,63.2,4,371,2,0
Jeremy,Howe,Collingwood,0,1,0.0,0,14,13,1,1,8,9,2,2,5,78.6,2,375,2,0
Ash,Johnson,Collingwood,0,1,0.0,0,3,2,1,2,2,4,1,1,0,33.3,1,31,1,0
Patrick,Lipinski,Collingwood,0,0,0.0,0,18,6,12,5,13,18,2,2,0,72.2,2,172,5,0
Finlay,Macrae,Collingwood,0,0,0.0,1,8,2,6,5,3,8,2,2,1,87.5,0,124,2,0
Oleg,Markov,Collingwood,0,0,0.0,0,12,7,5,4,9,13,3,4,1,83.3,3,99,1,0
Brayden,Maynard,Collingwood,0,0,0.0,1,22,20,2,7,16,23,5,6,6,81.8,2,522,3,1
Beau,McCreery,Collingwood,1,1,50.0,0,9,6,3,2,8,10,8,1,1,77.8,2,190,3,0
Brody,Mihocek,Collingwood,0,1,0.0,0,7,4,3,4,3,7,6,0,0,57.1,2,55,2,0
Darcy,Moore,Collingwood,0,0,0.0,0,16,12,4,4,10,14,1,6,7,68.8,4,310,1,0
Scott,Pendlebury,Collingwood,0,0,0.0,0,26,14,12,15,10,25,2,5,0,84.6,6,279,3,0
Isaac,Quaynor,Collingwood,0,0,0.0,0,16,10,6,5,12,17,2,5,2,62.5,3,265,2,0
Lachie,Schultz,Collingwood,2,0,100.0,0,10,6,4,3,7,10,2,2,0,70.0,0,211,5,0
Steele,Sidebottom,Collingwood,0,0,0.0,0,16,10,6,2,14,16,0,2,0,68.8,4,241,2,2
Joel,Amartey,Sydney Swans,1,2,33.3,0,7,6,1,3,4,7,2,1,0,42.9,1,180,3,0
Nick,Blakey,Sydney Swans,0,0,0.0,1,19,18,1,2,10,12,1,4,7,89.5,2,649,4,0
Braeden,Campbell,Sydney Swans,0,0,0.0,1,9,7,2,3,7,10,2,1,2,77.8,4,343,2,0
Harry,Cunningham,Sydney Swans,0,0,0.0,1,18,9,9,6,13,19,1,8,2,83.3,2,132,4,0
Oliver,Florent,Sydney Swans,0,0,0.0,0,21,12,9,9,10,19,3,9,3,71.4,4,253,3,2
Robbie,Fox,Sydney Swans,0,0,0.0,0,12,7,5,5,7,12,3,2,0,58.3,4,137,4,0
Brodie,Grundy,Sydney Swans,0,0,0.0,1,8,5,3,7,1,8,6,3,0,62.5,9,92,4,0
Errol,Gulden,Sydney Swans,0,1,0.0,2,30,21,9,4,26,30,2,2,2,73.3,3,651,11,0
Will,Hayward,Sydney Swans,0,1,0.0,0,10,6,4,3,7,10,5,1,0,70.0,4,80,5,0
Isaac,Heeney,Sydney Swans,2,2,50.0,2,29,15,14,13,14,27,4,2,0,75.9,2,482,10,0
