providerId,utcStartTime,team.name,home.team.name,away.team.name,player.givenName,player.surname,goals,behinds,goalAccuracy,goalAssists,disposals,kicks,handballs,contestedPossessions,uncontestedPossessions,totalPossessions,tackles,intercepts,rebound50s,disposalEfficiency,clangers,metresGained,scoreInvolvements,bounces
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Charlie,Curnow,4,0,100.0,0,11,11,0,5,5,10,0,2,2,72.7,3,312,6,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Tom,De Koning,0,0,0.0,0,11,5,6,7,3,10,3,1,1,72.7,4,126,3,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Sam,Docherty,0,0,0.0,0,10,9,1,2,9,11,1,1,4,60.0,3,314,2,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Orazio,Fantasia,0,0,0.0,2,11,4,7,3,7,10,1,1,0,45.5,2,131,3,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Lachie,Fogarty,1,0,100.0,2,13,5,8,6,7,13,9,3,0,61.5,1,182,5,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,George,Hewett,0,0,0.0,0,27,15,12,13,15,28,5,3,2,70.4,5,409,5,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Oliver,Hollands,0,0,0.0,0,8,6,2,2,7,9,8,0,1,62.5,3,123,0,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Brodie,Kemp,0,0,0.0,0,15,6,9,8,8,16,1,8,5,80.0,2,137,1,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Matthew,Kennedy,1,0,100.0,0,10,6,4,6,4,10,2,1,0,70.0,2,169,2,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Mitch,McGovern,0,1,0.0,0,17,14,3,4,9,13,4,7,1,82.4,1,339,6,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Harry,McKay,3,1,60.0,1,13,9,4,10,6,16,2,0,0,76.9,3,254,8,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Nic,Newman,0,0,0.0,1,16,15,1,3,13,16,3,3,5,62.5,3,402,3,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Matthew,Owies,0,0,0.0,0,8,6,2,3,5,8,1,1,0,87.5,1,86,5,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Adam,Saad,0,0,0.0,0,15,9,6,4,7,11,1,7,7,86.7,2,283,1,2
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Zac,Williams,0,0,0.0,0,19,17,2,5,12,17,2,4,4,78.9,4,375,1,0
CD_M20240140002,2024-03-08T08:40:00.000+0000,Carlton,Brisbane Lions,Carlton,Lewis,Young,0,0,0.0,0,15,13,2,6,7,13,0,7,11,66.7,1,431,1,0
